Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,domain,Actor1Type1Code_filled,Actor2Type1Code_filled
27933,1264055101,20250919,202509,BENIN,BEN,,BENIN CITY,NGA,,1,51,51,5,1,3.4,6,1,4,8.48356309650053,Benin,BN,BN,9.5,2.25,https://newtelegraphng.com/alaafin-re-enacts-essence-of-peaceful-coexistence-at-igbinedions-91st-birthday/,newtelegraphng.com,STATE,UNKNOWN
27939,1264062443,20250919,202509,BENIN,BEN,,NEWSPAPER,,MED,1,51,51,5,1,3.4,10,1,10,13.5779816513762,Benin,BN,BN,9.5,2.25,https://thenationonlineng.net/when-esama-of-benin-celebrated/,thenationonlineng.net,STATE,MED
27940,1264123091,20250919,202509,BENIN,BEN,,,,,1,43,43,4,1,2.8,10,1,10,4.86725663716814,France,FR,FR,46.0,2.0,http://www.24haubenin.info/?SIMA-2025-a-Cotonou-boosteur-de-carrieres-pour-la-musique-francophone,24haubenin.info,STATE,UNKNOWN
27941,1264062891,20250919,202509,UNICEF,,IGO,,,,0,162,162,16,4,-5.6,2,1,2,3.30788804071246,Benin,BN,BN,9.5,2.25,https://www.ecofinagency.com/news-services/1909-48828-benin-approves-509m-plan-to-reintegrate-out-of-school-youth,ecofinagency.com,IGO,UNKNOWN
27942,1264039275,20250919,202509,BENIN,BEN,EDU,,,,1,42,42,4,1,1.9,2,1,2,2.63929618768328,"Velia, Campania, Italy",IT,IT04,40.1667,15.15,https://www.statoquotidiano.it/19/09/2025/manfredonia-i-beneficiari-del-progetto-sai-in-visita-agli-scavi-di-siponto/1235962/,statoquotidiano.it,EDU,UNKNOWN
27943,1264039429,20250919,202509,PROFESSOR,,EDU,BENIN,BEN,,1,42,42,4,1,1.9,2,1,2,2.63929618768328,"Velia, Campania, Italy",IT,IT04,40.1667,15.15,https://www.statoquotidiano.it/19/09/2025/manfredonia-i-beneficiari-del-progetto-sai-in-visita-agli-scavi-di-siponto/1235962/,statoquotidiano.it,EDU,STATE
27944,1264108774,20250919,202509,COTONOU,BEN,,LATTER DAY SAINTS,,,0,43,43,4,1,2.8,4,1,2,3.2198712051518,"Yamoussoukro, (IV58), Cote D'ivoire",IV,IV58,6.81667,-5.28333,https://www.thechurchnews.com/leaders/2025/09/19/elder-gary-e-stevenson-teaches-saints-in-west-africa/,thechurchnews.com,UNKNOWN,UNKNOWN
27945,1264108890,20250919,202509,LATTER DAY SAINTS,,,COTONOU,BEN,,0,42,42,4,1,1.9,4,1,2,3.2198712051518,"Yamoussoukro, (IV58), Cote D'ivoire",IV,IV58,6.81667,-5.28333,https://www.thechurchnews.com/leaders/2025/09/19/elder-gary-e-stevenson-teaches-saints-in-west-africa/,thechurchnews.com,UNKNOWN,UNKNOWN
27946,1264108891,20250919,202509,LATTER DAY SAINTS,,,COTONOU,BEN,,0,42,42,4,1,1.9,4,1,2,3.2198712051518,"Yamoussoukro, (IV58), Cote D'ivoire",IV,IV58,6.81667,-5.28333,https://www.thechurchnews.com/leaders/2025/09/19/elder-gary-e-stevenson-teaches-saints-in-west-africa/,thechurchnews.com,UNKNOWN,UNKNOWN
27947,1264155133,20250919,202509,CHIEF EXECUTIVE,,GOV,,,,1,17,17,1,1,0.0,5,1,5,4.5,Benin,BN,BN,9.5,2.25,https://blueprint.ng/beetv-marks-anniversary-with-foundation-to-advance-media-literacy/,blueprint.ng,GOV,UNKNOWN
27954,1234741836,20250328,202503,RESIDENTS,,CVL,,,,1,190,190,19,4,-10.0,5,1,5,-12.5475285171103,Benin,BN,BN,9.5,2.25,https://thestreetjournal.org/edo-police-arrests-man-for-hacking-brother-to-death-following-violent-dispute/,thestreetjournal.org,CVL,UNKNOWN
27955,1234742526,20250328,202503,HOSPITAL,,HLH,,,,1,43,43,4,1,2.8,10,1,10,-12.5475285171103,Benin,BN,BN,9.5,2.25,https://thestreetjournal.org/edo-police-arrests-man-for-hacking-brother-to-death-following-violent-dispute/,thestreetjournal.org,HLH,UNKNOWN
27956,1234624426,20250327,202503,SCHOOL,,EDU,,,,0,42,42,4,1,1.9,10,1,10,5.85585585585586,Benin,BN,BN,9.5,2.25,https://www.teleprensa.com/articulo/malaga/carmen-castillo-destaca-que-715-profesorado-andaluz-ha-acreditado-competencia-digital/202503271207332073944.html,teleprensa.com,EDU,UNKNOWN
27957,1234590572,20250327,202503,UEMOA,WAF,IGO,,,,0,20,20,2,1,3.0,10,1,10,5.02035278154681,Benin,BN,BN,9.5,2.25,https://www.financialafrik.com/2025/03/27/conseil-dadministration-du-crrh-uemoa-du-25-mars-2025-nouvelle-dynamique-dans-le-financement-de-lhabitat-et-capital-renforce/,financialafrik.com,IGO,UNKNOWN
27958,1234590573,20250327,202503,UEMOA,WAF,IGO,,,,0,71,71,7,2,7.4,10,1,10,5.02035278154681,Benin,BN,BN,9.5,2.25,https://www.financialafrik.com/2025/03/27/conseil-dadministration-du-crrh-uemoa-du-25-mars-2025-nouvelle-dynamique-dans-le-financement-de-lhabitat-et-capital-renforce/,financialafrik.com,IGO,UNKNOWN
27960,1234732249,20250327,202503,BENIN,BEN,,,,,0,43,43,4,1,2.8,4,1,4,5.32241555783009,Benin,BN,BN,9.5,2.25,https://www.theslateonline.com/article/2025/03/su-alumni-share-peace-corps-experiences,theslateonline.com,STATE,UNKNOWN
27961,1234733337,20250327,202503,UNITED STATES,USA,EDU,,,,1,51,51,5,1,3.4,4,1,4,5.32241555783009,Benin,BN,BN,9.5,2.25,https://www.theslateonline.com/article/2025/03/su-alumni-share-peace-corps-experiences,theslateonline.com,EDU,UNKNOWN
27962,1234709843,20250327,202503,NAIJA,NGA,,,,,1,71,71,7,2,7.4,10,1,10,3.20987654320988,Benin,BN,BN,9.5,2.25,https://naija247news.com/2025/03/27/gov-okpebholo-flags-off-2025-farming-season-allocates-n70-billion-to-agriculture/,naija247news.com,UNKNOWN,UNKNOWN
27963,1234661794,20250327,202503,HOSPITAL,,HLH,,,,0,43,43,4,1,2.8,10,1,10,-14.2857142857143,Benin,BN,BN,9.5,2.25,https://promptnewsonline.com/edo-police-arrest-man-for-allegedly-killing-brother-in-violent-dispute/,promptnewsonline.com,HLH,UNKNOWN
27964,1234741004,20250328,202503,,,,HOSPITAL,,HLH,1,42,42,4,1,1.9,10,1,10,-12.5475285171103,Benin,BN,BN,9.5,2.25,https://thestreetjournal.org/edo-police-arrests-man-for-hacking-brother-to-death-following-violent-dispute/,thestreetjournal.org,UNKNOWN,HLH
